# coeff (real)    coeff (imag)    expon (real)    expon (imag)
6.073140835139e+05  1.170407708232e+05  3.072646946215e+01  1.553022147858e+03
2.309756056257e+05  -2.263298429938e+03  2.575230095612e+01  2.373516948698e+03
1.531366414959e+05  2.979804660690e+04  6.106467826219e+01  4.319647034123e+02
1.546677386186e+05  4.595778244717e+03  2.702910069586e+01  1.300711106503e+03
1.399696826145e+05  -2.741823931710e+04  4.024869684440e+01  1.683268918392e+03
1.094350128688e+05  -6.650312464925e+03  1.464382901342e+01  -2.822511690394e-01
8.290664111958e+04  -2.926773429573e+04  2.769636515926e+01  5.670640791222e+02
6.542017861916e+04  -3.382063227382e+04  3.745381562016e+01  1.405779134253e+03
