# coeff (real)    coeff (imag)    expon (real)    expon (imag)
6.989117665140e+05  1.100185001605e+05  1.333156800223e+02  1.365068581294e+03
7.053032067440e+05  2.906869930320e+03  2.454553704638e+01  1.597545790182e+03
2.176988593747e+05  -1.739428037739e+04  1.535951477272e+01  -5.988122323877e-01
1.960633257948e+05  2.192199778955e+04  8.173860056306e+01  4.377808897870e+02
1.653352450058e+05  -2.952280395467e+03  2.643947524940e+01  2.314839311111e+03
1.082424669308e+05  4.138256279356e+03  2.718065980263e+01  1.690497229324e+03
8.095213743775e+04  -1.208467229204e+04  2.372933077233e+01  2.387251250570e+03
-5.395695313801e+04  -2.279696200652e+04  3.036908443845e+01  1.227176798022e+03
