==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
1.099049524762e+03      7.072423794071e+01
1.109054527264e+03      7.585517112976e+01
1.116558279140e+03      5.762315069480e+01
1.124062031016e+03      7.952224210119e+01
1.134067033517e+03      7.906454928697e+01
1.141570785393e+03      6.734906809979e+01
1.149074537269e+03      8.324787554227e+01
1.159079539770e+03      8.957970955919e+01
1.166583291646e+03      6.843979688010e+01
1.174087043522e+03      9.460420114231e+01
1.184092046023e+03      9.468772760738e+01
1.191595797899e+03      8.078315574795e+01
1.199099549775e+03      1.005195972713e+02
1.209104552276e+03      1.085321953751e+02
1.216608304152e+03      8.365988359658e+01
1.224112056028e+03      1.155473534544e+02
1.234117058529e+03      1.169860012357e+02
1.241620810405e+03      9.904783675162e+01
1.249124562281e+03      1.259004715004e+02
1.259129564782e+03      1.335443862459e+02
1.266633316658e+03      1.119272703702e+02
1.274137068534e+03      1.318381079598e+02
1.281640820410e+03      1.371894842261e+02
1.291645822911e+03      1.662597542455e+02
1.299149574787e+03      1.109060222559e+02
1.306653326663e+03      1.795968528207e+02
1.316658329165e+03      1.619703081207e+02
1.324162081041e+03      1.713871327555e+02
1.331665832916e+03      1.493162431309e+02
1.339169584792e+03      2.011954776202e+02
1.349174587294e+03      1.946373226984e+02
1.356678339170e+03      1.881675363238e+02
1.364182091046e+03      1.780584567520e+02
1.371685842921e+03      2.196939055577e+02
1.381690845423e+03      2.183254847477e+02
1.389194597299e+03      1.948024139762e+02
1.396698349175e+03      1.943915145432e+02
1.404202101051e+03      2.206511008954e+02
1.414207103552e+03      2.221803631084e+02
1.421710855428e+03      1.822470913867e+02
1.429214607304e+03      1.915685368222e+02
1.436718359180e+03      2.002072582705e+02
1.446723361681e+03      2.065592853254e+02
1.454227113557e+03      1.547259207889e+02
1.461730865433e+03      1.763898931979e+02
1.469234617309e+03      1.678827874761e+02
1.479239619810e+03      1.854722504480e+02
1.486743371686e+03      1.153423023069e+02
1.494247123562e+03      1.717757115043e+02
1.504252126063e+03      1.422648349710e+02
1.511755877939e+03      1.360008971181e+02
1.519259629815e+03      1.161085034904e+02
1.526763381691e+03      1.377746715295e+02
1.536768384192e+03      1.302046326923e+02
1.544272136068e+03      1.019543316555e+02
1.551775887944e+03      1.208170139633e+02
1.561780890445e+03      1.189214678209e+02
1.569284642321e+03      8.636097030877e+01
1.576788394197e+03      1.115693986625e+02
1.586793396698e+03      1.034781533420e+02
1.594297148574e+03      8.286143472672e+01
1.601800900450e+03      9.735190557043e+01
1.611805902951e+03      9.699893504154e+01
1.619309654827e+03      7.033580025317e+01
1.626813406703e+03      9.175392731550e+01
1.636818409205e+03      8.536626083747e+01
1.644322161081e+03      6.886199415083e+01
1.651825912956e+03      8.100016533734e+01
1.661830915458e+03      8.128847130277e+01
1.669334667334e+03      5.902227101933e+01
1.676838419210e+03      7.748216176681e+01
1.686843421711e+03      7.231940838865e+01
1.694347173587e+03      5.866646752976e+01
1.701850925463e+03      6.908311289872e+01
1.711855927964e+03      6.973646867702e+01
1.719359679840e+03      5.067725147653e+01
1.726863431716e+03      6.688773472890e+01
1.736868434217e+03      6.257545694159e+01
1.744372186093e+03      5.101073320135e+01
1.751875937969e+03      6.009257067775e+01
1.761880940470e+03      6.096663577827e+01
1.769384692346e+03      4.431290878818e+01
1.776888444222e+03      5.877467715203e+01
1.786893446723e+03      5.506904817279e+01
1.794397198599e+03      4.508887396599e+01
1.801900950475e+03      5.310583996761e+01
1.811905952976e+03      5.411680711193e+01
1.819409704852e+03      3.932136202294e+01
1.826913456728e+03      5.239156744746e+01
1.836918459230e+03      4.913272685952e+01
1.844422211106e+03      4.038977255851e+01
1.851925962981e+03      4.753886992941e+01
1.861930965483e+03      4.863608317964e+01
1.869434717359e+03      3.531352469561e+01
1.876938469235e+03      4.725389635255e+01
1.886943471736e+03      4.433369511657e+01
1.894447223612e+03      3.658009074682e+01
1.901950975488e+03      4.300898174798e+01
1.911955977989e+03      4.416109944592e+01
1.919459729865e+03      3.203139788803e+01
1.926963481741e+03      4.303900006107e+01
1.936968484242e+03      4.038169886396e+01
1.944472236118e+03      3.343539370616e+01
1.951975987994e+03      3.925699661844e+01
1.961980990495e+03      4.044443334180e+01
1.969484742371e+03      2.929824968591e+01
1.976988494247e+03      3.952521807862e+01
1.986993496748e+03      3.707592589157e+01
1.994497248624e+03      3.079999390123e+01
2.002001000500e+03      3.610197150362e+01
2.012006003002e+03      3.731265362230e+01
2.019509754877e+03      2.698936822699e+01
2.027013506753e+03      3.655597418495e+01
2.037018509255e+03      3.427346402254e+01
2.044522261131e+03      2.856303944592e+01
2.052026013007e+03      3.341405615419e+01
2.062031015508e+03      3.464108982125e+01
2.069534767384e+03      2.501426632994e+01
2.077038519260e+03      3.401797809714e+01
2.087043521761e+03      3.186990153139e+01
2.094547273637e+03      2.664393625947e+01
2.102051025513e+03      3.109764364552e+01
2.112056028014e+03      3.233829605167e+01
2.119559779890e+03      2.330535040998e+01
2.127063531766e+03      3.182767083384e+01
2.137068534267e+03      2.978683594733e+01
2.144572286143e+03      2.498343036233e+01
2.152076038019e+03      2.908045081687e+01
2.162081040520e+03      3.033652172071e+01
2.169584792396e+03      2.181001860343e+01
2.177088544272e+03      2.992277735148e+01
2.187093546773e+03      2.796296265308e+01
2.194597298649e+03      2.353879303848e+01
2.202101050525e+03      2.730579717269e+01
2.212106053027e+03      2.858693457635e+01
2.219609804902e+03      2.048323021559e+01
2.227113556778e+03      2.825772848405e+01
2.237118559280e+03      2.634477256862e+01
2.244622311156e+03      2.228479016305e+01
2.252126063032e+03      2.572509315925e+01
2.262131065533e+03      2.706396686161e+01
2.269634817409e+03      1.927085395070e+01
2.277138569285e+03      2.680575863430e+01
2.287143571786e+03      2.485760592559e+01
2.294647323662e+03      2.124405604454e+01
2.302151075538e+03      2.427597799624e+01
2.312156078039e+03      2.584606887776e+01
2.319659829915e+03      1.795836097516e+01
2.327163581791e+03      2.562543373901e+01
2.337168584292e+03      2.277947671467e+01
2.344672336168e+03      2.179035125102e+01
