==============================================
 Frequencies [cm^-1]     Coefficients [cm^-1]
==============================================
4.912456228114e+02      2.178788373582e+01
4.987493746873e+02      2.272869909781e+01
5.087543771886e+02      2.570330818850e+01
5.162581290645e+02      1.794206751437e+01
5.237618809405e+02      2.598739731420e+01
5.337668834417e+02      2.438506140268e+01
5.412706353177e+02      2.145984055677e+01
5.487743871936e+02      2.505495095924e+01
5.587793896948e+02      2.714115370546e+01
5.662831415708e+02      1.946610156066e+01
5.737868934467e+02      2.747895480009e+01
5.837918959480e+02      2.611256278345e+01
5.912956478239e+02      2.271733778108e+01
5.987993996998e+02      2.681931229738e+01
6.088044022011e+02      2.887404157027e+01
6.163081540770e+02      2.090594897488e+01
6.238119059530e+02      2.929485540211e+01
6.338169084542e+02      2.799193454840e+01
6.413206603302e+02      2.420754814541e+01
6.488244122061e+02      2.874026280665e+01
6.588294147074e+02      3.084817420124e+01
6.663331665833e+02      2.248009879233e+01
6.738369184592e+02      3.136580006144e+01
6.838419209605e+02      3.009336146884e+01
6.913456728364e+02      2.591448792617e+01
6.988494247124e+02      3.089913218591e+01
7.088544272136e+02      3.309843302984e+01
7.163581790895e+02      2.424922993565e+01
7.238619309655e+02      3.372734066672e+01
7.338669334667e+02      3.247545814542e+01
7.413706853427e+02      2.787200938931e+01
7.488744372186e+02      3.335984026157e+01
7.588794397199e+02      3.568217739967e+01
7.663831915958e+02      2.626770894288e+01
7.738869434717e+02      3.644180935852e+01
7.838919459730e+02      3.520874940346e+01
7.913956978489e+02      3.013488393059e+01
7.988994497249e+02      3.619873866746e+01
8.089044522261e+02      3.867857091975e+01
8.164082041021e+02      2.860141753595e+01
8.239119559780e+02      3.959599118357e+01
8.339169584792e+02      3.838515926800e+01
8.414207103552e+02      3.277958092864e+01
8.489244622311e+02      3.951596706966e+01
8.589294647324e+02      4.219559970478e+01
8.664332166083e+02      3.133713044687e+01
8.739369684842e+02      4.330883021289e+01
8.839419709855e+02      4.212878242308e+01
8.914457228614e+02      3.591182422925e+01
8.989494747374e+02      4.344782434065e+01
9.089544772386e+02      4.638254910099e+01
9.164582291146e+02      3.459361321968e+01
9.239619809905e+02      4.774569225309e+01
9.339669834917e+02      4.661179570511e+01
9.414707353677e+02      3.968004126762e+01
9.489744872436e+02      4.818506190104e+01
9.589794897449e+02      5.145033293441e+01
9.664832416208e+02      3.853832816370e+01
9.739869934967e+02      5.314187548390e+01
9.839919959980e+02      5.207976991548e+01
9.914957478739e+02      4.429767621765e+01
9.989994997499e+02      5.400224511693e+01
1.009004502251e+03      5.770498615937e+01
1.016508254127e+03      4.341453695332e+01
1.024012006003e+03      5.984169426025e+01
1.034017008504e+03      5.889360469327e+01
1.041520760380e+03      5.008065963609e+01
1.049024512256e+03      6.130687279927e+01
1.059029514757e+03      6.560425447000e+01
1.066533266633e+03      4.958715374363e+01
1.074037018509e+03      6.836502288472e+01
1.084042021011e+03      6.760133945857e+01
1.091545772886e+03      5.751159622381e+01
