    Frequencies          Coefficients
----------------------------------------
-3.383345836459e+02    4.302138250808e+01
-2.203050762691e+02    4.953992916432e+01
-8.477119279820e+01    2.388765195702e+01
4.776194048512e+01    4.223244982228e+01
2.453113278320e+02    9.783866528927e+01
3.583395848962e+02    8.137649214779e+01
5.078769692423e+02    2.565105586651e+01
6.734183545886e+02    1.754618334825e+01
